surname,count,country
Ramos,10805,BR
Melo,10763,BR
Gabriel,10673,BR
Bezerra,10555,BR
Moura,10527,BR
Ramos,10431,BR
Luiz,10238,BR
Felipe,9859,BR
Borges,9798,BR
Morais,9716,BR
Jose,9642,BR
Rosa,9624,BR
Barros,9497,BR
Bezerra,9438,BR
Brito,9122,BR
Silva,9060,BR
Monteiro,8997,BR
Antonio,8906,BR
Medeiros,8828,BR
Borges,8787,BR
Eduardo,8778,BR
Duarte,8760,BR
Castro,8688,BR
Teixeira,8623,BR
Paulo,8565,BR
Teixeira,8465,BR
Pinheiro,8410,BR
Moraes,8306,BR
Farias,8224,BR
Francisco,8176,BR
Augusto,8053,BR
Paula,8026,BR
Morais,7985,BR
Dantas,7846,BR
Roberto,7817,BR
Cavalcante,7740,BR
Brito,7734,BR
Barros,7678,BR
Lucas,7553,BR
Monteiro,7544,BR
Pinheiro,7459,BR
Farias,7311,BR
Miranda,7292,BR
Duarte,7283,BR
Nogueira,7227,BR
Moraes,7045,BR

